id,family,label,tier,delta,U
T00,XXZ,FM,train,-2.5,
T01,XXZ,FM,train,-2.4076923076923076,
T02,XXZ,FM,train,-2.3153846153846156,
T03,XXZ,FM,train,-2.223076923076923,
T04,XXZ,FM,train,-2.1307692307692307,
T05,XXZ,FM,train,-2.0384615384615383,
T06,XXZ,FM,train,-1.9461538461538463,
T07,XXZ,FM,train,-1.853846153846154,
T08,XXZ,FM,train,-1.7615384615384615,
T09,XXZ,FM,train,-1.6692307692307693,
T10,XXZ,FM,train,-1.576923076923077,
T11,XXZ,FM,train,-1.4846153846153847,
T12,XXZ,FM,train,-1.3923076923076925,
T13,XXZ,FM,train,-1.3,
T14,XXZ,XY,train,-0.7,
T15,XXZ,XY,train,-0.6263157894736842,
T16,XXZ,XY,train,-0.5526315789473684,
T17,XXZ,XY,train,-0.4789473684210526,
T18,XXZ,XY,train,-0.4052631578947368,
T19,XXZ,XY,train,-0.33157894736842103,
T20,XXZ,XY,train,-0.2578947368421053,
T21,XXZ,XY,train,-0.1842105263157895,
T22,XXZ,XY,train,-0.1105263157894737,
T23,XXZ,XY,train,-0.0368421052631579,
T24,XXZ,XY,train,0.0368421052631579,
T25,XXZ,XY,train,0.1105263157894737,
T26,XXZ,XY,train,0.18421052631578938,
T27,XXZ,XY,train,0.2578947368421052,
T28,XXZ,XY,train,0.331578947368421,
T29,XXZ,XY,train,0.40526315789473677,
T30,XXZ,XY,train,0.47894736842105257,
T31,XXZ,XY,train,0.5526315789473684,
T32,XXZ,XY,train,0.6263157894736842,
T33,XXZ,XY,train,0.7,
T34,XXZ,NEEL,train,1.3,
T35,XXZ,NEEL,train,1.3923076923076922,
T36,XXZ,NEEL,train,1.4846153846153847,
T37,XXZ,NEEL,train,1.5769230769230769,
T38,XXZ,NEEL,train,1.6692307692307693,
T39,XXZ,NEEL,train,1.7615384615384615,
T40,XXZ,NEEL,train,1.853846153846154,
T41,XXZ,NEEL,train,1.9461538461538461,
T42,XXZ,NEEL,train,2.0384615384615383,
T43,XXZ,NEEL,train,2.1307692307692307,
T44,XXZ,NEEL,train,2.223076923076923,
T45,XXZ,NEEL,train,2.315384615384615,
T46,XXZ,NEEL,train,2.4076923076923076,
T47,XXZ,NEEL,train,2.5,
